year;month;day;data
2009;10;23;[['katainen', 'vaalipiiri', 'vielä', 'auki'], ['lankapuhelin', 'yhä', 'harvinainen'], ['yk', 'pohjois', 'korea', 'nälänhätä', 'laaja'], ['guatemala', 'iso', 'huumetakavarikko'], ['loeb', 'johtaa', 'hirvonen', '1', '7', 'sekunti']]
2009;10;24;[['mtk', 'maataloustuki', 'pohdittava'], ['brax', 'poliitikko', 'jääviys', 'syyni'], ['talviaika', 'alkaa', 'kello', '04'], ['saksa', 'päästä', 'hallitussopu'], ['loeb', 'johtaa', '2', '9', 'sekunti', 'hirvonen'], ['tanja', 'poutiainen', 'kärkitaistelu']]
2009;10;25;[['radonkor', 'radonkorjaus', 'tehty', 'verkkainen'], ['vanhanen', 'ja', 'putin', 'metsäkokous'], ['tuhoisa', 'pommi', 'isku', 'bagdad'], ['kello', 'olla', 'taas', 'talviaika'], ['hirvonen', 'kiristää', 'voittokamppailu'], ['rossi', 'viedä', 'mestaruus', 'kallio', '105']]
2009;10;26;[['halpa', 'auto', 'hakea', 'nyt', 'viro'], ['liikenne', 'tehovalvontaviikko', 'alkaa'], ['vanhanen', 'toivoa', 'pohjoismaa', 'eu'], ['kiina', 'lisä', 'kallis', 'euro', 'tuska'], ['häkkinen', '3', 'ammunta', 'mc', 'finaali']]
2009;10;27;[['suomalainen', 'usko', 'talous', 'nousta'], ['rakentaa', 'luottamus', 'värähtää', 'ylös'], ['puoli', 'säilyttää', 'vanha', 'lääke'], ['biojätepussi', 'ei', 'hajota', 'kaatopaikka'], ['sportti', 'pelaaja', 'tunnustaa', 'ahdistelu']]
2009;10;28;[['destia', 'tarkastus', 'paljastaa', 'virhe'], ['kabul', 'surmattu', 'yk', 'työntekijä'], ['suomalainen', 'ei', 'isku', 'kohde'], ['nordea', 'tulos', 'odotettu', 'hyvä'], ['nhl', 'todettu', 'kaksi', 'hin1', 'tapaus'], ['cleveland', 'hävitä', 'o', 'nealin', 'debyytti']]
2009;10;29;[['sariola', 'ja', 'sarkolalle', 'ehdollinen'], ['leena', 'palotie', 'akateemikko'], ['finnair', 'tappio', 'jatkua'], ['eu', 'tärkeä', 'huippukokous'], ['päävalmenta', 'päävalmentaja', 'ei', 'jatko', 'jjkssa']]
2009;10;30;[['luontotahoilta', 'moite', 'vihreä'], ['säätiö', 'takaraja', 'selvitys'], ['honduras', 'kriisi', 'loppu', 'häämöttää'], ['asunta', 'hinta', 'nousu', 'hidastua'], ['valtteri', 'filppula', 'ranne', 'murtua']]
2009;10;31;[['afganistan', 'vaali', 'mutkistua'], ['hallitus', 'sopu', 'vaalirahakatoista?'], ['usa', 'elvytys', 'näkyä', 'työpaikka'], ['korpi', 'luistella', 'toinen', 'kiina']]
2009;11;01;[['hamid', 'karzai', 'jäädä', 'yksi', 'ehto'], ['sunnuntaikauppa', 'alkaa', 'taas'], ['mäkelä', 'nummela', '3', 'mc', 'finaali']]
